entry,ep,exit,xp,pnl,bars,type
2021-04-06 15:00:00,1836.430636753688,2021-04-09 13:00:00,1864.183410671469,-1.5112345308527526,70,SHORT
2021-04-10 17:00:00,1854.6471052795468,2021-04-13 15:00:00,1822.068967307413,-1.7565680219916238,70,LONG
2021-04-14 18:00:00,1830.947416501874,2021-04-15 10:00:00,1860.6001299208945,-1.6195284010762951,16,SHORT
2021-04-18 01:00:00,1856.8125058619344,2021-04-19 15:00:00,1824.653440347543,-1.7319500710419395,38,LONG
2021-04-20 04:00:00,1841.080817027717,2021-04-24 08:00:00,1872.7434612581355,-1.7197856790195298,100,SHORT
2021-04-25 01:00:00,1860.2284678652104,2021-04-26 13:00:00,1829.7233206248388,-1.6398602519710461,36,LONG
2021-04-27 16:00:00,1830.8916143781464,2021-04-30 13:00:00,1858.5216723917856,-1.5091039686160568,69,SHORT
2021-05-02 07:00:00,1857.32296485991,2021-05-03 10:00:00,1828.868791828274,-1.531999203691649,27,LONG
2021-05-03 23:00:00,1840.9211479467303,2021-05-16 01:00:00,1873.7512574151656,-1.7833522910556092,290,SHORT
2021-05-16 14:00:00,1850.024028076908,2021-05-17 18:00:00,1815.0311393248617,-1.891482933247161,28,LONG
2021-05-18 23:00:00,1824.1657758913589,2021-05-21 05:00:00,1852.4565121227215,-1.5508862519657063,54,SHORT
2021-05-22 18:00:00,1849.8855576061133,2021-05-24 19:00:00,1818.41685651228,-1.7011161022607288,49,LONG
2021-05-26 11:00:00,1815.070165843868,2021-05-27 23:00:00,1846.7404036699063,-1.7448492307356147,36,SHORT
2021-05-28 21:00:00,1840.6070382442808,2021-05-31 22:00:00,1807.3789976175528,-1.8052761907519148,73,LONG
2021-06-01 10:00:00,1820.7925835028436,2021-06-04 20:00:00,1862.686405253154,-2.300856348487255,82,SHORT
2021-06-05 15:00:00,1840.0240854844933,2021-06-07 10:00:00,1809.5936860002028,-1.6538044107329157,43,LONG
2021-06-08 00:00:00,1820.2920334112264,2021-06-12 14:00:00,1850.2431226003832,-1.645400223667876,110,SHORT
2021-06-13 03:00:00,1835.1584381577168,2021-06-14 07:00:00,1804.70132671172,-1.6596447921179043,28,LONG
2021-06-16 17:00:00,1805.5718456726293,2021-06-18 15:00:00,1848.8922335167636,-2.399261372398957,46,SHORT
2021-06-19 18:00:00,1829.1321768478977,2021-06-21 13:00:00,1800.9056325020083,-1.5431659178688508,43,LONG
2021-06-23 07:00:00,1801.1762631296729,2021-06-25 16:00:00,1837.301526512668,-2.0056484266689667,57,SHORT
2021-06-26 08:00:00,1822.6539288211573,2021-06-28 23:00:00,1793.6999616404785,-1.5885608739452481,63,LONG
2021-06-29 14:00:00,1799.4803883428642,2021-07-02 09:00:00,1831.036293737471,-1.7536120759652434,67,SHORT
2021-07-03 05:00:00,1814.764023634872,2021-07-06 14:00:00,1783.5234926123262,-1.7214651941343195,81,LONG
2021-07-07 02:00:00,1795.087097090323,2021-07-09 05:00:00,1823.762755449165,-1.5974522019194977,51,SHORT
2021-07-09 22:00:00,1811.66051681082,2021-07-12 09:00:00,1782.401633498378,-1.6150312401767257,59,LONG
2021-07-13 04:00:00,1798.663518622962,2021-07-16 12:00:00,1826.4759306848343,-1.5462821019000335,80,SHORT
2021-07-17 23:00:00,1812.654158440648,2021-07-19 03:00:00,1778.7953742767568,-1.8679119790296077,28,LONG
2021-07-19 17:00:00,1798.2264348094,2021-07-31 21:00:00,1825.349360899012,-1.508315391464419,292,SHORT
2021-08-01 11:00:00,1804.1403180890677,2021-08-02 22:00:00,1772.598856242695,-1.7482820781800994,35,LONG
2021-08-03 12:00:00,1784.669772470934,2021-08-06 16:00:00,1820.7012330976272,-2.018942730049516,76,SHORT
2021-08-07 13:00:00,1802.951744482104,2021-08-09 12:00:00,1775.370422372642,-1.5297870391636417,47,LONG
2021-08-10 19:00:00,1774.642367765687,2021-08-13 00:00:00,1806.2338531989624,-1.7801606682618443,53,SHORT
2021-08-14 10:00:00,1795.1251658562403,2021-08-16 16:00:00,1766.0238804739374,-1.6211284837301092,54,LONG
2021-08-18 06:00:00,1769.6387541448132,2021-08-19 15:00:00,1797.793119905477,-1.5909668396852812,33,SHORT
